"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
708,"Jorge Vidri Salgado","Local Guide · 51 reseñas","Hace 3 años","","","Positivo","","Calidad culinaria muy buena y servicio impecable","","No","Muy buena calidad de comida y muy buen servicio"
709,"amaya de la peña","Local Guide · 251 reseñas · 533 fotos","Hace 5 años","","","Positivo","","Todo muy rico, atención cuidada y local muy bonito","","Sí","Muy bueno todo, y muy bien atendidos. El local muy bonito"
710,"Rafael Prado","Local Guide · 17 reseñas","Hace 6 años","","","Positivo","","Comida muy sabrosa y servicio muy amable","","Sí","Todo muy rico y el servicio muy amables, volveremos!!."
711,"Borja Fayos","Local Guide · 75 reseñas · 335 fotos","Hace 4 años","Comida","","Positivo","","Servicio rápido, buena atención y comida bastante bien","","No","Servicio bueno , rápido y la comida bastante bien. Repetiré."
712,"Ana María CASADO","3 reseñas","Hace 1 año","Cena","","Positivo","","Todo buenísimo, sitio 100% recomendable","","Sí","Todo buenísimo, sitio para recomendar 100x100"
713,"Borja A","1 reseña","Hace 3 años","Comida","50-60 €","Positivo","","Comida buenísima y servicio de diez","","No","Todo loque pedimos estaba buenísimo, y el servicio un 10"
714,"Tony Gonzalez","1 reseña","Hace 4 años","","","Positivo","","Experiencia perfecta y parada obligatoria en cada visita a Pozuelo","","Sí","Todo perfecto, cada vez que vengo a Pozuelo los visito, volveré a repetir."
715,"Cesar Alvarez de Blas","Local Guide · 33 reseñas · 5 fotos","Hace 1 año","","","Positivo","","Comida excelente y trato inmejorable","","No","Comida excelente. Trato inmejorable. Siempre volveré."
716,"Luis Guerra","Local Guide · 396 reseñas · 9 fotos","Hace 3 años","","","Mixto","","Producto de gran calidad","Atención deficiente por parte del personal de sala","Sí","Esta genial pero la atrncion no es buena. El producto muy bueno"
717,"Patricia Carrasco","1 reseña","Hace 6 años","","","Positivo","Chuletón enrollado","Alta cocina en miniatura muy rica; chuletón enrollado increíble","","No","Alta cocina en miniatura muy rica. Increíble el chuletón enrollado."
718,"Diego Garcia Alvarez","3 reseñas · 1 foto","Hace 7 años","","","Positivo","","Excelente comida y trato inmejorable","","Sí","Excelente comida y un trato inmejorable. A seguir así familia!!!!"
719,"Beatriz López Sánchez","Local Guide · 16 reseñas · 8 fotos","Hace 4 años","","","Positivo","","Supera expectativas en cada cena, valoración de diez","","Sí","Nos encanta cenar en La Roca, siempre supera nuestras expectativas, un diez!"
720,"Pilar Bernal","1 reseña","Hace 2 años","","","Positivo","","Servicio pendiente de todos los detalles","","No","Estuvo todo muy bien, estaban atentos a todos los detalles"
721,"Curro Rivero","9 reseñas · 1 foto","Hace 1 año","Cena","30-40 €","Positivo","","Servicio súper atento y comida buenísima","","No","Servicio súper atento y la comida está buenísima"
722,"Florencia Yasure","4 reseñas","Hace 2 años","","","Positivo","","Muy buen servicio y platos muy ricos","","No","Muy buen servicio , y todo muy bien !!"
723,"José Luis Pérez Lamigueiro","Local Guide · 25 reseñas · 260 fotos","Hace 8 años","","","Positivo","Platos modernos","Comida moderna, buen servicio y buena relación calidad-precio","","No","buena relación precio calidad, comida moderna y buen servicio"
724,"Yolanda Glez.M.","Local Guide · 128 reseñas · 55 fotos","Hace 8 años","","","Positivo","Menú del día","Gran calidad de nivel estrella Michelin y menú del día espectacular","","No","Gran calidad, de estrella Michelín, menú del día espectacular"
725,"Sol Balbue","1 reseña","Hace 2 años","Comida","","Positivo","","Comida exquisita y camareros muy amables","","No","Excelente servicios los chicos muy amable y la comida exquisita"
726,"Mariano Caballero","Local Guide · 103 reseñas · 4 fotos","Hace 6 años","","","Positivo","","Comida de gran nivel y servicio excelente","","No","La comida muy muy bien. El servicio, excelente"
727,"Jorge Saenz","Local Guide · 38 reseñas · 18 fotos","Hace 7 años","","","Positivo","Cocina imaginativa","Grata sorpresa con cocina imaginativa y sabrosa","","No","Muy grata sorpresa. Cocina imaginativa, muy rica."
728,"Natalia Sarandeses","Local Guide · 12 reseñas · 1 foto","Hace 4 años","","","Positivo","","Comida súper rica y camareros muy agradables","","No","La comida está súper rica y los camareros son súper agradables."
729,"OSCAR RUBIO","Local Guide · 192 reseñas · 136 fotos","Hace 4 años","","","Positivo","Platos elaborados","Comida elaborada de gran calidad y servicio excelente","","No","Comida elaborada de calidad y servicio excelente, recomendable 100%"
730,"Victoria Perez","11 reseñas","Hace 3 años","Comida","","Positivo","","Comida excelente y trato inmejorable constante","","No","Como siempre la comida excelente y el trato inmejorable"
731,"JORGE BOTICARIO FIGUERAS","5 reseñas","Hace 4 años","","","Positivo","Torreznos","Comida y servicio excelentes, torreznos buenísimos","","No","Tanto la comida como el servicio excelentes, los torreznos buenísimos! Repetiremos"
732,"Francisco Manuel Rubio Villar","Local Guide · 25 reseñas · 330 fotos","Hace 7 años","","","Positivo","Tapas variadas","Buenas tapas y muy buena atención","Local muy concurrido","Sí","Buenas tapas y muy buena atención aunque muy concurrido"
733,"Javier Castrejon","Local Guide · 22 reseñas","Hace 4 años","","","Positivo","","Sitio infalible con comida y servicio de 5 estrellas","","No","Es un sitio que no falla! Tanto la comida como el servicio es de 5 estrellas"
734,"Mario Pinto","5 reseñas","Hace 1 año","Cena","","Positivo","","Todo muy rico","","No","Todo muy rico."
735,"Elisabeth Coll","5 reseñas","Hace 3 años","Cena","30-40 €","Positivo","","Comida increíble y trato inmejorable","","No","Comida increíble y trato inmejorable. Volvemos seguro"
736,"Rubén Gutiérrez Esteban","3 reseñas","Hace 1 año","","","Positivo","","Servicio increíble y comida buena","","No","Servicio increíble, comida buena."
737,"Jesus Montero","Local Guide · 471 reseñas · 1.229 fotos","Hace 7 años","","","Positivo","Tapas de autor","Sitio estupendo para tapear","Local pequeño que suele estar lleno","No","Sitio estupendo para tapear, generalmente esta lleno al ser pequeño el sitio."
738,"David ZS","9 reseñas","Hace 4 años","","","Positivo","","Todo muy rico y buen trato","","Sí","Muy rico todo y buen trato"
739,"Olga Isla","Local Guide · 41 reseñas","Hace 8 años","","","Positivo","","Todo muy bueno","Local siempre repleto de público","No","Todo muy bueno, lo peor, que a todos nos gusta y siempre está repleto"
740,"Javier Ayala Soto","Local Guide · 186 reseñas · 15 fotos","Hace 5 años","","","Positivo","","Servicio estupendo y gestión brillante de Óscar","","No","Bravo Oscar. Todo muy bueno. Servicio estupendo."
741,"Raúl Hernández “Rulo1987”","Local Guide · 39 reseñas · 5 fotos","Hace 3 años","","","Positivo","","Excelente comida y trato inmejorable del personal","","No","Excelente comida e inmejorable trato del personal"
742,"E D","Local Guide · 99 reseñas · 19 fotos","Hace 1 año","","","Positivo","","Servicio formal, trato atento y buena cocina","","No","Buen trato, formales, y buena comida"
743,"Fran Perez","8 reseñas","Hace 4 años","","","Positivo","","Excelente comida y excelente trato","","No","Excelente comida y excelente trato. Repetiremos seguro."
744,"Javier Escribano Testaut","Local Guide · 205 reseñas","Hace 7 años","","","Positivo","","Mucha calidad gastronómica","Local muy pequeño","No","Mucha calidad , pero muy pequeño el local"
745,"Juliana Zarzuela","Local Guide · 9 reseñas · 3 fotos","Hace 7 años","","","Positivo","Tapas gourmet","El mejor lugar de la zona para tapas gourmet","","No","El mejor lugar para tapas gourmet y pasar un agradable momento"
746,"Ana Fuentes","Local Guide · 123 reseñas · 2 fotos","Hace 7 años","","","Positivo","","Trato espectacular y comida calificada con un 10","","No","Un diez en todo!!!! Muy recomendable!!! Trato espectacular y comida de 10!!!!"
747,"Penelope Gomez Feria","Local Guide · 31 reseñas · 10 fotos","Hace 7 años","","","Positivo","Carta variada","Propuesta gastronómica completa y atractiva","","No","Me gusta muchísimo todo lo que ofrece!! Muy recomendable"
748,"Shahla F","Local Guide · 141 reseñas · 606 fotos","Hace 2 años","Cena","20-30 €","Positivo","","Comida muy sabrosa que merece la pena probar","Precios algo elevados","No","Un poco caro pero merece la pena probar las comidas."
749,"Marcela Miranda Brunelli","Local Guide · 12 reseñas · 9 fotos","Hace 3 años","","","Positivo","","Comida excelente y trato inmejorable","","No","La comida es excelente 👌 y trato inmejorable 🤩 volveremos 🤩"
750,"Jose Luis Quero","2 reseñas","Hace 3 meses","Comida","40-50 €","Positivo","","Excelente experiencia","","No","Excelente!"
751,"Lina Hernandez Araque","4 reseñas · 5 fotos","Hace 1 año","Comida","20-30 €","Positivo","","Servicio sobresaliente y atención de diez por parte de Ney","","Sí","Si pudiera puntear mejor el servicio, lo haría. Ney el mejor :)"
752,"Fernando Barquin","1 reseña","Hace 3 años","","","Positivo","","Atención increíble del personal y comida buenísima","","No","Atencion increible del personal, comida buenísima"
753,"Juan manuel Alvaredo","6 reseñas · 10 fotos","Hace 2 años","Comida","60-70 €","Positivo","","Atención excelente y calidad de producto destacable","","No","Atención excelente y muy buenas la calidad de los productos"
754,"Alejandra Gonzalez-Moro","8 reseñas · 1 foto","Hace 1 año","Cena","30-40 €","Positivo","","Comida excelente, servicio impecable y facilidad para aparcar","","No","La comida excelente y el servicio impecable. Aparcamiento: Fácil apatcar"
755,"Petra Domínguez Correa","Local Guide · 21 reseñas · 28 fotos","Hace 6 años","","","Positivo","","Comida muy buena","Tardaron muchísimo tiempo en atender en mesa","No","La comida muy bien, pero tardaron muchísimo en atendernos"
756,"Celia","Local Guide · 68 reseñas · 2 fotos","Hace 4 años","","","Positivo","Platos nueva cocina","Nueva cocina estupenda y atención muy buena","","Sí","Estupenda nueva cocina con muy buena atención"
757,"Daniel Benavidez","Local Guide · 72 reseñas · 19 fotos","Hace 4 años","","","Positivo","","Lugar increíble, atención excelente y comida exquisita","","No","Lugar increíble... Excelente atención Todo exquisito Gracias"
758,"Irene Sanchez","Local Guide · 36 reseñas","Hace 3 años","","","Positivo","","Atención maravillosa y comida de nivel","","No","Maravillosa atención y comida repetire sin duda"
759,"Asumpta García González","Local Guide · 16 reseñas","Hace 2 años","Cena","","Positivo","","Comida sabrosa","Insonorización deficiente del local y presencia molesta de pantallas","No","Se debería mejorar la insonorizados y quitar la pantalla."
760,"consuelo gil muñoz","Local Guide · 248 reseñas · 246 fotos","Hace 5 años","","","Positivo","Ravioli de rabo de toro","Todo riquísimo y ravioli de rabo excelente","","No","Todo riquísimo. El raviolis de rabo de toro excelente"
761,"Juan Martinez","Local Guide · 25 reseñas · 24 fotos","Hace 7 años","","","Positivo","Tapas variadas","Todas las tapas sabrosas y apetecibles","","No","Todas las tapas están buenas. Merece la pena volver a probar el resto."
762,"javier sanpablo","9 reseñas","Hace 5 años","","","Positivo","","Buen trato y productos de gran calidad","","No","Buen trato y muy buena calidad en sus productos."
763,"Vicente Miró","Local Guide · 19 reseñas","Hace 8 años","","","Positivo","","Visita obligada y recomendable en Pozuelo","","No","Muy recomendable, si vas por Pozuelo no dejes de visitarlo"
764,"Covadonga Fernandez","2 reseñas","Hace 3 años","","","Positivo","","Servicio rápido, trato muy amable y platos estupendos","","No","Todo estupendo y servicio rápido y muy amable."
765,"Fernando Portero","Local Guide · 101 reseñas · 13 fotos","Hace 4 años","Comida","30-40 €","Positivo","","Calidad y servicio calificados de 10 en visitas repetidas","","Sí","Siempre que vamos de 10. Muy buena calidad y servicio"
766,"Antonio Caballero","Local Guide · 140 reseñas","Hace 1 año","","","Positivo","","Sitio espectacular y servicio aún mejor","","No","Espectacular sitio y mejor servicio!!!"
767,"Alberto Diaz","Local Guide · 116 reseñas · 5 fotos","Hace 5 años","","","Positivo","","Muy buena cocina y trato agradable","","Sí","Muy buena cocina y trato"
768,"alfonso","Local Guide · 68 reseñas","Hace 4 años","","","Negativo","","","Mala experiencia que desaconseja una segunda visita","Sí","Es la segunda vez que voy, no volveré nunca más, arrepentido de haberles dado 2a oportunidad."
769,"Concha RG","Local Guide · 201 reseñas · 105 fotos","Hace 4 años","","","Mixto","Raciones","Comida rica de sabor","Raciones muy escasas que encarecen el resultado final","Sí","Rico pero las raciones son muy escasas por lo que resulta caro"
770,"Ana Cruz","Local Guide · 81 reseñas","Hace 5 años","","","Positivo","","Buena cocina y trato atento","","Sí","Buena cocina y buen trato a los clientes."
771,"Jose Manuel Tuňas Moreno","Local Guide · 538 reseñas · 1.759 fotos","Hace 7 años","","","Positivo","","Grata sorpresa culinaria recomendada por amigos","","Sí","Me invitó un amigo a conocerlo y mi sorpresa fue mayúscula. Me sorprendió muy gratamente. Volveré...."
772,"Jaime Blas","Local Guide · 31 reseñas","Hace 6 años","","","Positivo","","Comida muy rica a precio moderado para la zona","","No","Todo rico y en ese entorno no muy caro."
773,"Jose Diez","Local Guide · 267 reseñas · 173 fotos","Hace 5 años","","","Negativo","","Comida normal","Caro (50€ por persona) para comer en mesas sin mantel","No","CARO. 50 euros persona. Mesa sin mantel. Comida normal."
774,"Luis Tejedor Benedicto","Local Guide · 17 reseñas","Hace 7 meses","Comida","30-40 €","Positivo","Platos adaptados a alérgenos","Local agradable con información completa sobre restricciones alimentarias y alérgenos","","No","Muy agradable Restricciones alimentarias: Información completa"
775,"Dayber Delahoz","Local Guide · 21 reseñas · 1 foto","Hace 4 años","","","Positivo","Chipirones con huevos","Chipirones con huevos espectaculares","","Sí","Los chipirones con huevos son espectaculares, muy buen restaurante"
776,"Fernando T","Local Guide · 479 reseñas · 140 fotos","Hace 7 años","","","Positivo","Platos de autor","Comida elaborada con muy buen gusto en local acogedor","Local chiquitito","No","Un lugar chiquitito y acogedor con comida elaborada con buen gusto."
777,"GREGORIA","8 reseñas · 1 foto","Hace 4 años","","","Negativo","","","Precios excesivos que motivan la decisión de no regresar","Sí","Además de todo lo que acabo de comentar, nos ha parecido caro. Desde luego, no volveremos."
778,"Miguel Apolinar Ortega Sastre","Local Guide · 58 reseñas · 11 fotos","Hace 8 años","","","Positivo","","Comida muy buena, local agradable y buena atención","","No","Muy buena la comida, la atención y el local!"
779,"Javier Estrada Rollón","4 reseñas","Hace 4 años","","","Positivo","","Comida muy sabrosa y gran atención","","No","Muy rico y gran atención."
780,"Jorge Juan Francisco Valiente","Local Guide · 486 reseñas · 1.772 fotos","Hace 5 años","","","Positivo","Platos creativos","Propuesta diferente y atractiva","","Sí","Muy bien. Diferente"
781,"Shivani Naresh Harjani","Local Guide · 35 reseñas · 6 fotos","Hace 4 años","Cena","50-60 €","Positivo","","Atención increíble y profesional de Alejandro","","No","Alejandro nos atendió e increible como siempre muchas gracias!"
782,"Gonzalo Ortega","5 reseñas","Hace 3 años","Comida","30-40 €","Positivo","","Todo muy bueno y atención de sala estupenda","","No","Muy bueno todo y muy bien atendidos"
783,"JAlvaro JAB","Local Guide · 299 reseñas · 57 fotos","Hace 7 años","","","Mixto","Chuletón","Comida correcta","Chuletón caro y local de reducidas dimensiones","Sí","Pequeño local, la comida correcta, sin más. El chuletón caro."
784,"Andres Lopez Lucas","4 reseñas · 1 foto","Hace 1 año","","","Positivo","","Experiencia excelente en todos los aspectos","","No","Excelente todo, enhorabuena"
785,"Sara Mondéjar","Local Guide · 16 reseñas","Hace 3 años","Cena","","Positivo","","Comida deliciosa, servicio muy rápido y amable","","No","Comida deliciosa, y servicio muy rápido y amable"
786,"Javier Framit","Local Guide · 16 reseñas · 5 fotos","Hace 3 años","Cena","30-40 €","Positivo","","Calidad, servicio impecable, precio razonable y facilidad de aparcamiento","","No","Calidad, servicio y a un precio muy razonable. Aparcamiento: Aparcamiento en la zona"
787,"IGNACIO PULIDO CALVO","5 reseñas","Hace 1 año","Cena","20-30 €","Positivo","","Comida y servicio de nivel top","","No","El servicio y la comida muy top. Repetiremos"
788,"Gustavo Adolfo García Delgado","Local Guide · 117 reseñas · 28 fotos","Hace 8 años","","","Positivo","","Lugar emblemático, tranquilo y acogedor","","No","Un lugar emblemático y tranquilo en Pozuelo. Pienso repetir pronto"
789,"Celina","Local Guide · 21 reseñas","Hace 1 año","Cena","30-40 €","Positivo","","Servicio de Ney calificado como lo mejor del local","","No","Lo mejor el servicio de Ney!"
790,"Asun Rivero","3 reseñas","Hace 9 años","","","Positivo","Croquetas","Comida deliciosa, croquetas destacadas","","No","Todo muy rico. Sobre todo las croquetas!!!"
791,"Chelo Vazquez Valverde","Local Guide · 65 reseñas · 12 fotos","Hace 5 años","","","Negativo","","","Cierre y cerramiento de la terraza percibido como poco seguro para ventilación","Sí","Han cerrado la terraza, convirtiéndola en una 'falsa terraza' , así se contagia el virus."
792,"Leticia de Agustín Fernández","3 reseñas","Hace 4 años","","","Positivo","","Comida, trato y ambiente fenomenales","","No","Todo fenomenal: la comida, el trato y el ambiente"
793,"María Montes-Jovellar","Local Guide · 150 reseñas · 65 fotos","Hace 7 años","","","Positivo","Platos creativos","Platos originales, cuidados y con sabores diferentes","","Sí","Platos originales y muy diferentes. Todo rico y cuidado"
794,"Ana De Artiñano Comin","Local Guide · 57 reseñas","Hace 4 años","","","Mixto","","Comida correcta","Precio algo caro para lo consumido","Sí","Estuve cenando y para lo que tomamos me pareció algo caro."
795,"Jon Gonzalez","2 reseñas","Hace 1 año","Cena","50-60 €","Positivo","","Comida muy sabrosa y buen servicio de mesa","","No","Todo muy bueno y buen servicio"
796,"Paloma SM","Local Guide · 19 reseñas · 23 fotos","Hace 3 años","Comida","","Positivo","","Excelente comida y excelente atención","","No","Excelente comida y excelente atención Repetiremos seguro"
797,"Jose GDC","Local Guide · 134 reseñas · 1 foto","Hace 3 años","","","Positivo","","Buena comida, buen servicio y buen precio","","No","Buena comida, buen servicio, buen precio, volveremos!!"
798,"Miguel Rodríguez","Local Guide · 126 reseñas · 33 fotos","Hace 5 años","","","Mixto","","Calidad culinaria y servicio correctos","Precios sumamente elevados","No","Calidad y servicio bien, peri muy muy caro"
799,"Juan Cuenca","Local Guide · 169 reseñas · 2 fotos","Hace 3 años","","","Positivo","Platos de autor","Comida rica y toques muy originales en las recetas","","No","Comida muy rica y con un toque muy original"
800,"Maria Antonia Dicen Romero","1 reseña","Hace 4 años","","","Positivo","","Servicio de primera categoría y comida espectacular","","Sí","Un servicio de primera y la comida espectacular!!"
801,"Iñigo Esteban","10 reseñas","Hace 4 años","","","Positivo","","Regularidad impecable que genera satisfacción constante","","Sí","Siempre que vengo a este sitio me voy como la primera vez. Encantado!"
802,"Fermintxo","Local Guide · 143 reseñas · 73 fotos","Hace 2 años","","","Positivo","","Todo perfecto de diez","","No","Me ha encantado. Todo de diez. Gracias"
803,"Elisa Martínez","Local Guide · 651 reseñas · 736 fotos","Hace 7 años","","","Positivo","Platos creativos","Cocina muy original y deliciosa","","Sí","Cocina muy original y muy rica."
